	id	ext_timestamp	zenith	azimuth
691	691	1451632359228577833	0.17936082	-0.14063874
697	697	1451632510134729408	0.30798224	2.679847
702	702	1451632686144587960	0.23476717	0.62757593
703	703	1451632702586978875	0.202033	2.18271
707	707	1451632809025423312	0.5461933	2.3801558
708	708	1451632866827066931	0.30388054	0.7079953
711	711	1451632982519959549	0.36599287	-1.2323076
724	724	1451633602530708316	0.08284383	-2.721134
729	729	1451633917246476965	0.6750308	0.13237385
733	733	1451634045777606133	0.33885682	-1.695093
734	734	1451634052178501268	0.23742175	-0.032837816
746	746	1451634702580625051	0.22068624	0.14629094
747	747	1451634729018391649	0.112335235	-2.396939
748	748	1451634730096350434	0.826062	-2.191177
751	751	1451634856520677830	0.5546936	1.0510749
753	753	1451634950213566646	0.7013901	-1.3160491
755	755	1451635024657827977	0.6813466	-1.1069812
766	766	1451635368005765353	0.1354698	0.07686112
775	775	1451635900480907164	0.4388947	-1.7220665
787	787	1451636413880091862	0.39477697	-1.3798296
798	798	1451636732787798129	0.45316747	-0.35400298
801	801	1451636812915993116	0.46308935	-0.16808446
805	805	1451636894928568470	0.39031374	2.041072
827	827	1451637473886109828	0.52244264	1.439818
829	829	1451637553977166705	0.5994516	-0.46698415
841	841	1451637954173750277	0.07304542	-1.4341533
853	853	1451638190312506178	0.38682652	0.063548006
854	854	1451638309381621987	0.43029848	-0.73389906
865	865	1451638589124667597	0.18181819	-0.8990553
882	882	1451639039309611713	0.08334319	-0.9643452
883	883	1451639068207035479	0.3568158	1.4269916
892	892	1451639443825155149	0.7002753	-2.188065
917	917	1451640132985828306	0.09511803	-0.6690565
923	923	1451640337623681018	0.41098535	2.9351993
938	938	1451640891282291441	0.713696	-0.6530214
961	961	1451641414883048151	0.46873003	0.59895253
965	965	1451641508711968156	0.09942019	1.0983983
968	968	1451641774617365371	0.3397651	3.0545697
971	971	1451642027862886495	0.5281497	-2.5717933
973	973	1451642136048404594	0.78707486	-1.1672832
981	981	1451642341811047126	0.51083726	1.263434
984	984	1451642444606406057	0.18952286	-1.5010823
986	986	1451642705944677151	0.30930635	0.26759034
993	993	1451643095641131328	0.6220816	-0.51694226
999	999	1451643237048114262	0.15486751	0.30698824
1003	1003	1451643429534591772	0.074672736	0.83203685
1006	1006	1451643456940900295	0.032609083	2.8795366
1008	1008	1451643514291577972	0.67540723	1.1421224
1013	1013	1451643650588725312	0.0047903773	-2.5822742
1014	1014	1451643651285027372	0.2832637	-0.20992064
